Meet The Robinsons ,7.5
Megamind,7.5
Melody time,3
Memento,9.5
Memories of murder ,8.5
Men In Black,9
Men In Black 2,8
Men In Black 3,8
Men In Black International ,7
Message From The King,8
Mickeys Christmas Carol,9.5
Mickeys magical Christmas: Snowed in at the house of Mouse,6
Mickeys once upon a Christmas,6.5
Midnight in Paris,8.5
Midsommar,8.6
Midway,6
Mile 22,7
Millers crossing,8
Million Dollar Baby ,8.5
Minari,8.5
Minions,5.5
Minority report,6.5
Miracle on 34th street (1947),8.5
Miracle on 34th street (1994),7.9
Misery,8.5
Miss Congenitalty ,9
Miss Congenitalty 2: Armed And Fabulous ,6
Mission Impossible ,8
Mission Impossible 2,8.5
Mission Impossible 3,9
Mission Impossible 4,9.5
Mission Impossible 5,10
Mission Impossible 6,9
Mixed nuts ,3.5
Moana,9.5
Modern Times,4.5
Momentum,8
Moneyball,8
Monster In Law,8
Monsters Ball,7
Monsters Inc,10
Monsters University ,8.5
Monsters Vs Aliens,6
Monte Carlo,5.5
Monty python and the Holy grail,8.5
Monty Python: Life of Brian,8.5
Moonraker,7.5
Moonrise Kingdom,7
Moonstruck,8
Mortal kombat 2021,8.5
Mother's Day,7
Mouse Hunt,5.5
Mr And Mrs Smith,8
Mr Bean Holiday ,7.5
Mr Bean Movie,8.5
Mr Deeds,7.5
Mr peabody and sherman ,5.5
Mr. poppers penguins,5.5
Mrs Doubtfire,9
Mulan,9.5
Mulan 2020,8
muppets most wanted,5
Murder by numbers,4.5
Murder on the orient express ,8.5
Muriels Wedding,7
My Best Friend's Girl,4.5
My Best Friends Wedding,8
My Neighbor Totoro,9
My octopus teacher,8
My son,7.5
My Spy,5.5
Nacho Libre,8
Naked Gun,8
Naked Gun 2,7
Naked Gun 3,6
Nanny Mcphee,7.5
Napoleon Dynamite ,8.5
Narnia,7.5
National lampoon's vacation,6
National Lampoons Christmas Vacation,8.5
National Security ,8
National Treasure,6.5
Nativity!,7.1
Natural Born Killers,6
Nausicaa of the valley of the wind,7
Need For Speed,6
Never been kissed,8
Neverending Story,6
New Years Eve,7
Night At the Museum ,6
Night At the Museum 2,6
Night School,5
Nightcrawler,7
Nightmare alley ,8
Nightmare On Elm Street,7
No country for old men,8.7
No time to die,8.9
No way out,4
Nobody,10
Nomadland ,9
Non Stop,8
Norbit,7.5
North by Northwest ,7.5
Nosferatu,6.7
Not another teen movie ,7
nothing to declare,5
Notting Hill,8.5
Now you see Me,4
Now You See Me 2,3.5
Oblivion,3.5
office christmas party,6
Official Secrets,7.5
Old,8
Oliver and Company ,6
Oliver!,8
Olympus Has Fallen ,8
On her majesty's secret service,7.5
On the waterfront,7
Once Upon A Time In America,7
Once upon A Time In The West,7
One Day,5
One For The Money,5
One hour photo ,8
Onward,8.5
Open Season,9
Orange County,7
Our Brand Is Crisis,6.5
Our ladies,9
Over the hedge,7.5
Overboard,8
Pacific rim,6.5
Paddington ,8.5
Paddington 2,9
Pain And Gain,8.5
Palm springs,9.5
Pan,3.5
Pan's labyrinth ,7.5
Panda paws,10
Papillion 2017,8
Parasite,10
Parenthood,6
Patriots Day,8.5
Paul,5.5
paw patrol the movie,5
Peanut Butter Falcon,10
Pearl Harbour,9
Penguins of madagascar movie,6.5
People just do nothing big in Japan,8
Perfume the story of a murderer,7
Pet Sematary 2019,4.5
Pete's Dragon,7
Peter Pan,8.5
Petes dragon 2016,6.5
Phantom thread,8.5
Pig,8.5
Piglets big movie,5.5
Pineapple Express,7
Pinocchio ,8
Pirates Of The Caribbean ,9.5
Pirates Of The Caribbean 2,9
Pirates Of The Caribbean 2: Dead Man's Chest,9
Pirates Of The Caribbean 3,9
Pirates Of The Caribbean 4,9
Pirates Of The Caribbean 5,8
Pixels,5
Planes,6
Planes trains and automobiles ,8.5
Planet 51,6
Planet Of The Apes (1968),7
platoon ,8
Plutos Christmas tree,7.5
Kung fu panda holiday special,9.8
Pocahontas,7
Point Blank (2019),7.5
Point Break,8
Polar,9
Police Academy ,7
Poltergeist ,6
Ponyo,7.5
Poohs heffalump movie,5
Porco Rosso ,7
Practical Magic ,4
Predator,8.4
Predator 2,6
Predators,5
Pretty Woman,9.5
Prince Of Persia ,7.5
Princess Mononoke,7
Prisoners,9
Prom Night,5
Prometheus,7
Promising young woman,9
Ps I Love You,9
Psycho,8
Pulp Fuction,8.5
Pumping Iron,8
Puss In Boots,6
Quantum Of Solace ,8.4
Race To Witch Mountain ,4.5
Radio days,7
Raging bull,9
Rain Man,9
Ralph breaks the internet,8
Rambo,9.5
Rambo 2,9
Rambo 3,8
Rambo 4,6.5
Rambo 5,7
Rango,6
Rat Race,7
Ratatouille,9
Raya and the last dragon ,9
Ready Player One,7.5
Real Steel,6
Rear Window,8.5
Red notice,8
Red Sparrow ,8
Remember the titans,8
Reminiscence,6.5
Rent,4.5
Requiem For A Dream,6
Reservoir dogs,9
Resident Evil,1.5
Revenge of The Pink Panther,7
Ride Along,7.3
Ride Along 2,7.2
Rio,8
Rio 2,4
Rio bravo,6
Ripd,4
Rise of the guardians,5
Rise Of The Planet Of The Apes,9.5
Road house,6
Road To Perdition,7.5
Robin Hood,9
Robin Hood Prince of thieves,7
Robinson Crusoe The Wild Life,3
Robocop,4
Robocop (2014),5
Robots,7
Rocketman,9
Rocky,9
Rocky 2,8
Rocky 3,8.5
Rocky 4,8.5
Rocky 5,5
Rocky 6,7.5
Role Models,6.7
Roman Holiday,9
Romancing the stone,8
Romeo And Juliet ,8
Romy and Michelle's high school reunion,7.5
Ronaldo,6
Room,8
Roundhay Garden Scene (1888),5
Roxanne ,7.5
Rudolph the red nosed reindeer (1948),6.5
Rudolph the red nosed reindeer (1964),7.5
Rudolph the red nosed reindeer (1998),6
Run Fat Boy Run,7.1
Runaway bride,7.5
rush 2013,8.5
Rush hour,8
Rush hour 2,8
Rush hour 3,7
Rushmore,8
S.W.A.T,6.5
Sabrina,7
Safe Haven,8.5
Saludos Amigos,2
San Andreas,7.5
Santa claus is comin' to town,7.5
Santa claus: the movie,2
Savages,6
Save The Last Dance,7
Saving mr banks,7.5
Saving Private Ryan,10
Saving silverman ,8.5
Say Anything...,8.5
Scarface ,8.5
Scent Of A Woman,9.5
Schindlers List ,9
School Of Rock,10
Scoob!,5.9
Scooby Doo 2,6.4
Aloha scooby doo!,8.7
Scooby Doo And The Cyber Chase,9.1
Scooby Doo and the loch Ness monster,7.5
Scooby doo Camp scare,8.6
Scooby doo meets the boo brothers,5.9
Scooby doo on zombie island,8.2
Scooby Doo The Movie,7.8
Scott Pilgrim Vs The World,7
Scream,9
Scrooge - A Christmas Carol (1951),6
Scrooge (1935),5.5
Scrooge (1970),7.9
Scrooged,2.5
Se7en,9
Secrets of the furious five,10
secrets of the masters,10
Secrets of the scroll,10
See no evil hear no evil,9.5
Serpico,7.5
seven bride's for seven brothers,6.5
Sex And The City,7
Sex and the city 2,6
Sex Tape,6.5
Shallow Hal,9
Shang-chi and the legend of the ten rings,9
Shark Boy And Lava Girl,5
Shark tale,8
Shaun Of The Dead,9.5
Shaun the Sheep The Movie,8
Shazam,5.5
She's Out Of My League ,7
She's The Man,5.5
Sherlock Holmes,8
Sherlock Holmes 2,7.5
Shooter,7.5
Shrek,8.5
Shrek 2,9
Shrek 3,6.5
Shrek 4,6
Shutter Island,9
Siberia,7.5
Sicario,7.5
Silence,8
Silence Of The Lambs,9
Silver Linings Playbook ,8.5
Simon Callow's A Christmas Carol (2018),4.5
Sinbad legend of the seven seas,7
Sing,7
Singin' In The Rain,8
Sister Act,7.5
Six shooter ,7.5
Sixteen Candles,9
Skyfall,9.4
Sleepers,8
Sleeping Beauty ,7
Sleepless In Seattle ,8.5
Sleepy Hollow,6
Slumdog Millionaire ,7
Smallfoot,5.5
Snatch,10
Snow Dogs,3.5
Snow White And The Seven Dwarfs,8.5
Snowpiercer,4
Some Kind Of Beautiful,7.5
Some like it hot,9.5
Sonic the Hedgehog,7.5
Soul,9.5
Sound of metal,9
Source code,8.5
Southpaw,7.5
Space Jam,7
Space jam a new legacy ,4.5
Spartacus ,7.5
Spectre ,8.5
Speed,10
Speed 2,6
Spenser Confidential ,8
Spider Man Far From Home,9.5
Spiderman 2 2004,9
Spiderman 2002,8.5
Spiderman 3 2007,8.5
Spiderman Homecoming ,9
Spiderman Into The Spider Verse,8.5
Spiderman no way home,10
Spies in disguise ,7
Spirit 2 untamed,7
Spirit Stallion Of The Cimarron,8.5
Spirited Away,8
splash,6
Split,8.4
Spongebob Sponge On The Run,7.5
Spongebob Squarepants The Movie,9.5
Spotlight,7
Spring Breakers,5.5
Spy,8.5
Spy Kids 4d,7.5
St Trinians,8.5
